x,y,z
450.7552907754517,190.12412683203354,a
402.57644203236225,249.91464695668805,a
441.7216536934895,275.9080847659068,a
442.34451710791313,259.36972904462516,a
434.59732944833536,340.3352575004696,a
422.2827198193994,306.89593208847316,a
391.9401497055925,360.43375148509534,a
391.2834842833728,334.2195700628833,a
394.55963534011676,378.71209678464606,a
444.34981611994385,371.33835716260285,a
400.79257547116146,360.84423895144266,a
403.3289841612789,385.4447761435906,a
379.104613872537,402.93164526321954,a
406.4490660987363,402.7350469319773,a
328.6724349068877,426.65783827913987,a
327.7195363520389,463.2224663781972,a
349.46624746980626,431.3363321320194,a
335.5957842586978,383.72072498972136,a
350.90581663349633,404.67780427402886,a
333.9228171003606,416.91831432887705,a
297.23370180561216,458.5800630288307,a
298.8624809674307,366.56681062738005,a
333.6372572735138,372.17001004815563,a
357.25164234051306,386.3326053402358,a
317.87490214518044,433.80668857388594,a
328.01909361470666,384.3913950264961,a
359.57611448565336,413.2948743304663,a
355.5237100461811,365.48444076480246,a
329.9737471506356,397.6127690121456,a
343.3237383279338,358.4049350876563,a
336.69988601504826,329.7195459617915,a
415.0822480094011,311.8980997973852,a
366.8719719611737,276.2925393217902,a
435.24356566149953,263.75636137443996,a
439.65010571832465,279.91123749767866,a
424.1223287897398,293.8261886116232,a
387.85862795584177,257.1204540885804,a
386.8690006080684,204.38118680656453,a
446.4711369564638,209.4818033294207,a
462.4543805141441,193.99071950118037,a
444.9706778157496,180.66812511438553,a
465.34573168833145,192.90929100495453,a
467.9007241710389,158.25387958084838,a
452.2724107951878,111.9235899301786,a
474.66479083079287,91.52111040419447,a
461.86971669022176,71.5119029345961,a
437.48334521844583,104.97410049594674,a
424.6255467244844,87.99727876674774,a
463.50904254000216,56.11934390045866,a
466.88774957209284,51.957244175522305,a
440.53899658827675,63.84707332357016,a
434.5811412729601,70.94987832490403,a
421.2962510894437,87.26432934278841,a
410.05414613315423,46.36474040518294,a
433.2525014244434,134.643610984571,a
387.8073978709406,126.6725720584027,a
375.0755447435161,151.78430418905953,a
385.85419577325854,170.0541534997405,a
361.0375214682787,215.00946512379574,a
386.3175839065538,280.0923054364562,a
346.87646451368863,265.7873238552462,a
341.98659233401924,289.6051567542052,a
314.0519494568484,272.9674360805452,a
327.97111946807075,301.140302207122,a
347.79865563533076,313.36525421272404,a
294.25891019361256,311.01516608439226,a
295.1285374090027,366.3673487119065,a
300.5634050297421,326.0123087753471,a
319.35327948596404,379.63350777110224,a
273.2756655996249,397.7710673503763,a
316.8977148763446,348.8002191662344,a
281.86041835632227,376.02081861603955,a
290.43610019197274,363.53153823142276,a
279.10567217481383,404.973664308646,a
287.7875831307518,379.1580264608461,a
306.4419362699068,338.12885939106377,a
339.68464203143094,383.0124310368558,a
328.4826013506809,395.5832587029623,a
264.9733445302915,388.3523006379762,a
347.0363243812464,262.5891932582995,a
305.79247486180725,266.5797541484712,a
380.46679308546544,238.08913664668376,a
391.00543807926863,225.2770522954072,a
421.53737938771764,211.69639222313037,a
411.76758145032557,216.24133788728642,a
390.7216148233369,204.18760367551062,a
413.22287720747727,165.38121638795747,a
403.47888005922465,124.22441533618405,a
457.39151309650276,128.8793857839308,a
418.3890042723738,102.01188010893338,a
434.7222205911991,111.19134222072341,a
410.4374281806593,78.7520098680136,a
420.2909902631111,88.70470950574719,a
474.0847120093047,86.45639142469184,a
440.3673016153545,59.07483556073299,a
438.43255261402993,79.51589975846349,a
459.73649397112786,39.7041851838585,a
479.7981258474743,49.07191479085401,a
480.98151305345607,64.44429475871834,a
434.1334390043994,40.40331440715687,a
452.0837420718312,126.15167980287515,a
448.439797770153,21.925240517322834,a
408.5963905218689,97.46520967838995,a
420.37400080865973,142.1708104659644,a
382.10660562405116,137.61243906620172,a
376.0805936025466,188.35533328742252,a
333.22085889394793,218.06131157828997,a
356.9311402829399,258.24939971041533,a
278.46179023883354,345.83316205606377,a
308.54375580414927,303.71864841821866,a
338.40269836619336,291.53168907841825,a
307.25611850627985,346.4342885609815,a
